Year,Month,Silver_Price_INR_per_kg
2018,Jul,32825
2018,Aug,32960
2018,Sep,33110
2018,Oct,33275
2018,Nov,33455
2018,Dec,33650
2019,Jan,33680
2019,Feb,33725
2019,Mar,33785
2019,Apr,33860
2019,May,33950
2019,Jun,34055
2019,Jul,34175
2019,Aug,34310
2019,Sep,34460
2019,Oct,34625
2019,Nov,34805
2019,Dec,35000
2020,Jan,35030
2020,Feb,35075
2020,Mar,35135
2020,Apr,35210
2020,May,35300
2020,Jun,35405
2020,Jul,35525
2020,Aug,35660
2020,Sep,35810
2020,Oct,35975
2020,Nov,36155
2020,Dec,36350
2021,Jan,36380
2021,Feb,36425
2021,Mar,36485
2021,Apr,36560
2021,May,36650
2021,Jun,36755
2021,Jul,36875
2021,Aug,37010
2021,Sep,37160
2021,Oct,37325
2021,Nov,37505
2021,Dec,37700
2022,Jan,37730
2022,Feb,37775
2022,Mar,37835
2022,Apr,37910
2022,May,38000
2022,Jun,38105
2022,Jul,38225
2022,Aug,38360
2022,Sep,38510
2022,Oct,38675
2022,Nov,38855
2022,Dec,39050
2023,Jan,39080
2023,Feb,39125
2023,Mar,39185
2023,Apr,39260
2023,May,39350
2023,Jun,39455
2023,Jul,39575
2023,Aug,39710
2023,Sep,39860
2023,Oct,40025
2023,Nov,40205
2023,Dec,40400
2024,Jan,40430
2024,Feb,40475
2024,Mar,40535
2024,Apr,40610
2024,May,40700
2024,Jun,40805
2024,Jul,40925
2024,Aug,41060
2024,Sep,41210
2024,Oct,41375
2024,Nov,41555
2024,Dec,41750
2025,Jan,41780
2025,Feb,41825
2025,Mar,41885
2025,Apr,41960
2025,May,42050
2025,Jun,42155
2025,Jul,42275
2025,Aug,42410
2025,Sep,42560
2025,Oct,42725
2025,Nov,42905
2025,Dec,43100
